[PLAYERS]
ID|真实姓名|ISO2|位置|状态|inDB|日期|来源URL
BerLIN|Li Wenyu (李文昱)|TW|flex|active|yes|2026-08-20|https://www.vlr.gg/team/13576/jd-gaming
Shr1mp|Yang Yong (杨勇)|CN|initiator|active|yes|2026-08-20|https://www.vlr.gg/team/1119/all-gamers
K1ra|Huang Zhihao (黄志豪)|CN|flex|active|yes|2026-08-20|https://www.vlr.gg/team/1119/all-gamers
Bai|Zhang Zeyang (张泽洋)|CN|flex|active|yes|2026-08-20|https://www.vlr.gg/team/1119/all-gamers
f4ngeer|Roman Smirnov|RU|duelist|active|yes|2026-08-20|https://www.vlr.gg/team/1119/all-gamers
iamgrq|Gao Ruiqi (高锐琦)|CN|controller|active|yes|2026-08-20|https://www.vlr.gg/team/1119/all-gamers
LuoK1ng|Wu Hongqing (吴宏庆)|CN|controller|active|yes|2026-08-20|https://www.vlr.gg/team/12685/trace-esports
Kai|Chen Kai (陈凯)|CN|duelist|active|yes|2026-08-20|https://www.vlr.gg/team/12685/trace-esports
FengF|Zhang Jingfeng (张锦丰)|CN|flex|active|yes|2026-08-20|https://www.vlr.gg/team/12685/trace-esports
FKEY|Chen Fenkai (陈奋凯)|CN|flex|active|yes|2026-08-20|https://www.vlr.gg/team/12685/trace-esports
deLb|Delbert Tanoto|ID|duelist|active|yes|2026-08-20|https://www.vlr.gg/team/12685/trace-esports
Abo|Han Bohao (韩博皓)|CN|controller|sub|no|2026-08-20|https://www.vlr.gg/team/12685/trace-esports
Toosy|Wu Yufeng (吴雨峰)|CN|flex|sub|no|2026-08-20|https://www.vlr.gg/team/12685/trace-esports
Haodong|Shen Haodong (沈昊东)|CN|controller|active|yes|2026-08-20|https://www.vlr.gg/team/14137/titan-esports-club
lucas|Guo Wei (郭伟)|CN|initiator|active|yes|2026-08-20|https://www.vlr.gg/team/14137/titan-esports-club
Dynamite|Liu Haoran (刘浩然)|CN|duelist|active|yes|2026-08-20|https://www.vlr.gg/team/14137/titan-esports-club
ra1ny|Huang Yufeng (黄雨峰)|CN|duelist|active|yes|2026-08-20|https://www.vlr.gg/team/14137/titan-esports-club
Coco|Zhou Chengjie (周成杰)|CN|flex|active|yes|2026-08-20|https://www.vlr.gg/team/14137/titan-esports-club
Spitfires|Xin Mingyan (辛铭衍)|CN|duelist|sub|yes|2026-08-20|https://www.vlr.gg/team/14137/titan-esports-club
glacier|Zhao Yinuo (赵一诺)|TW|flex|active|yes|2026-08-20|https://www.vlr.gg/team/13790/wolves-esports
yosemite|Liu Jingyu (刘靖宇)|CN|sentinel|active|yes|2026-08-20|https://www.vlr.gg/team/13790/wolves-esports
Spring|Chen Zihao (陈子豪)|TW|duelist|active|yes|2026-08-20|https://www.vlr.gg/team/13790/wolves-esports
Deryeon|Desmond Sim|SG|duelist|active|yes|2026-08-20|https://www.vlr.gg/team/13790/wolves-esports
aluba|He Guangyu (何广宇)|CN|sentinel|active|yes|2026-08-20|https://www.vlr.gg/team/13790/wolves-esports
nothing|Xie Junzheng (谢君正)|CN|flex|sub|no|2026-08-20|https://www.vlr.gg/team/13790/wolves-esports
vo0kashu|Ilya Burov|RU|sentinel|active|yes|2026-08-20|https://www.vlr.gg/team/11981/dragon-ranger-gaming
Life|Li Yu (李宇)|CN|duelist|active|yes|2026-08-20|https://www.vlr.gg/team/11981/dragon-ranger-gaming
Nicc|Zheng Kunrong (郑昆荣)|TW|initiator|active|yes|2026-08-20|https://www.vlr.gg/team/11981/dragon-ranger-gaming
SpiritZ1|Lin Enchi (林恩驰)|TW|duelist|active|yes|2026-08-20|https://www.vlr.gg/team/11981/dragon-ranger-gaming
Verse|Hu Weiyu (胡威宇)|CN|controller|active|yes|2026-08-20|https://www.vlr.gg/team/11981/dragon-ranger-gaming
Flex1n|Zhou Minxin (周铭鑫)|CN|controller|inactive|yes|2026-08-20|https://www.vlr.gg/team/11981/dragon-ranger-gaming
[TEAMS]
# EDward Gaming (https://www.vlr.gg/team/1120/edward-gaming)
# 首发: nobody, ZmjjKK, CHICHOO, Smoggy, Jieni7
# 替补/暂离: zjc
# Bilibili Gaming (https://www.vlr.gg/team/12010/bilibili-gaming)
# 首发: Knight, whzy, nephh, rushia, bud
# 替补/暂离: FT, yilai (inactive), Levius (inactive)
# TYLOO (https://www.vlr.gg/team/731/tyloo)
# 首发: SiuFatBB, splash, Scales, Erv, slowly
# 替补/暂离: xihe
# Xi Lai Gaming (https://www.vlr.gg/team/13581/xi-lai-gaming)
# 首发: WsLeo, Lysoar, NoMan, Rarga, happywei
# 替补/暂离: Sharks
# Nova Esports (https://www.vlr.gg/team/12064/nova-esports)
# 首发: qiutiaN, cb, Ezeir, GuanG, swagzor
# 替补/暂离: GREEN, kodeth
# FunPlus Phoenix (https://www.vlr.gg/team/11328/funplus-phoenix)
# 首发: AAAAY, KovaQ, coconut, Xlele, Setrod
# 替补/暂离: 无
# JD Gaming (https://www.vlr.gg/team/13576/jd-gaming)
# 首发: jkuro, zhe, Yuicaw, crownfisher, BerLIN
# 替补/暂离: 无
# All Gamers (https://www.vlr.gg/team/1119/all-gamers)
# 首发: Shr1mp, K1ra, Bai, f4ngeer, iamgrq
# 替补/暂离: 无 (Youze 已于 2026-07 离队)
# Trace Esports (https://www.vlr.gg/team/12685/trace-esports)
# 首发: LuoK1ng, Kai, FengF, FKEY, deLb
# 替补/暂离: Abo, Toosy
# Titan Esports Club (TEC, 无锡钛坦) (https://www.vlr.gg/team/14137/titan-esports-club)
# 首发: Haodong, lucas, Dynamite, ra1ny, Coco
# 替补/暂离: Spitfires
# Wolves Esports (https://www.vlr.gg/team/13790/wolves-esports)
# 首发: glacier, yosemite, Spring, Deryeon, aluba
# 替补/暂离: nothing
# Dragon Ranger Gaming (https://www.vlr.gg/team/11981/dragon-ranger-gaming)
# 首发: vo0kashu, Life, Nicc, SpiritZ1, Verse
# 替补/暂离: Flex1n (inactive)
[DB_NOT_IN_ROSTER]
Akeman|DRG -> KeepBest Gaming，随队降入 2026 CN Evo（次级联赛），不在 VCT CN 一级联赛
sibeastw0w|KeepBest Gaming（2026 CN Evo 次级联赛），不在 VCT CN
Tonk|KeepBest Gaming（2026 CN Evo 次级联赛），不在 VCT CN
Ying|KeepBest Gaming（2026 CN Evo 次级联赛），不在 VCT CN
Krst1Ng|KeepBest Gaming（2026 CN Evo 次级联赛），不在 VCT CN
